amc_name,amc_url,asset_class,aum_crore,benchmark,category,category_rank,category_rank_period,data_as_of,inception_date,portfolio_age,rank_universe,return_10y,return_1m,return_1y,return_2y,return_3m,return_3y,return_5y,return_6m,return_since_inception,scraped_at,source,strategy_display_name,strategy_url,result_page
Money Grow Asset Pvt Ltd,https://pmsbazaar.com/AMC/Money-Grow-Asset-Pvt-Ltd/PMS,Equity,153,Nifty 50 TRI,Small & Mid Cap,1,1M,2026-06-30,Dec 2023,"2 Yrs, 6 Months",556,NA,14.54%,4.45%,12.68%,75.25%,NA,NA,37.84%,20.38%,2026-08-12T16:02:08.538Z,https://pmsbazaar.com/Visitor/PMSComparison,Money Grow Asset Pvt Ltd - Small Midcap,https://pmsbazaar.com/Strategy/Small_Midcap/Money-Grow-Asset-Pvt-Ltd,1
Equirus Wealth Pvt Ltd,https://pmsbazaar.com/AMC/Equirus-Wealth-Pvt-Ltd/PMS,Equity,368.85,S&P BSE 500 TRI,Small Cap,2,1M,2026-06-30,Oct 2016,"9 Yrs, 8 Months",556,NA,14.49%,14.81%,8.16%,41.41%,17.49%,12.97%,18.10%,20.88%,2026-08-12T16:02:08.538Z,https://pmsbazaar.com/Visitor/PMSComparison,Equirus Wealth Pvt Ltd - Long Horizon Fund,https://pmsbazaar.com/Strategy/Long_Horizon_Fund/Equirus-Wealth-Pvt-Ltd,1
Amaltas Asset Management LLP,https://pmsbazaar.com/AMC/Amaltas-Asset-Management-LLP/PMS,Equity,5.37,S&P BSE 500 TRI,Multi Cap & Flexi Cap,3,1M,2026-06-30,Jul 2025,"0 Yrs, 11 Months",556,NA,11.92%,NA,NA,34.84%,NA,NA,19.27%,34.21%,2026-08-12T16:02:08.538Z,https://pmsbazaar.com/Visitor/PMSComparison,Amaltas Asset Management LLP - Strategic Opportunities Series 1,https://pmsbazaar.com/Strategy/Strategic_Opportunities_Series_1/Amaltas-Asset-Management-LLP,1
White Whale Partners LLP,https://pmsbazaar.com/AMC/White-Whale-Partners-LLP/PMS,Equity,63.60,Nifty 50 TRI,Multi Cap & Flexi Cap,4,1M,2026-06-30,Oct 2024,"1 Yrs, 8 Months",556,NA,11.86%,18.20%,NA,35.11%,NA,NA,15.15%,17.10%,2026-08-12T16:02:08.538Z,https://pmsbazaar.com/Visitor/PMSComparison,White Whale Partners LLP - White Whale Partners LLP RISING STAR PF,https://pmsbazaar.com/Strategy/White_Whale_Partners_LLP_RISING_STAR_PF/White-Whale-Partners-LLP,1
Clockvine Capital Advisors Pvt Ltd,https://pmsbazaar.com/AMC/Clockvine-Capital-Advisors-Pvt-Ltd/PMS,Equity,97.21,S&P BSE 500 TRI,Multi Cap & Flexi Cap,5,1M,2026-06-30,Feb 2024,"2 Yrs, 4 Months",556,NA,11.41%,19.71%,13.21%,33.15%,NA,NA,15.43%,17.43%,2026-08-12T16:02:08.538Z,https://pmsbazaar.com/Visitor/PMSComparison,Clockvine Capital Advisors Pvt Ltd - Growth Fund,https://pmsbazaar.com/Strategy/Growth_Fund/Clockvine-Capital-Advisors-Pvt-Ltd,1
East Green Advisors LLP,https://pmsbazaar.com/AMC/East-Green-Advisors-LLP/PMS,Equity,71.33,S&P BSE 500 TRI,Multi Cap & Flexi Cap,6,1M,2026-06-30,Jul 2023,"2 Yrs, 11 Months",556,NA,11.35%,17.16%,8.54%,29.86%,NA,NA,16.07%,15.62%,2026-08-12T16:02:08.538Z,https://pmsbazaar.com/Visitor/PMSComparison,East Green Advisors LLP - Agile Strategy..,https://pmsbazaar.com/Strategy/Agile_Strategy/East-Green-Advisors-LLP,1
Tradeswift Broking Private Limited,https://pmsbazaar.com/AMC/Tradeswift-Broking-Private-Limited/PMS,Equity,13.48,S&P BSE 500 TRI,Small Cap,7,1M,2026-06-30,Oct 2025,"0 Yrs, 8 Months",556,NA,11.16%,NA,NA,37.77%,NA,NA,20.47%,15.78%,2026-08-12T16:02:08.538Z,https://pmsbazaar.com/Visitor/PMSComparison,Tradeswift Broking Private Limited - Sparkling Gems,https://pmsbazaar.com/Strategy/Sparkling_Gems/Tradeswift-Broking-Private-Limited,1
Accelt asset management LLP,https://pmsbazaar.com/AMC/Accelt-asset-management-LLP/PMS,Equity,12.47,S&P BSE 500 TRI,Multi Cap & Flexi Cap,8,1M,2026-06-30,Nov 2024,"1 Yrs, 7 Months",556,NA,10.97%,8.49%,NA,25.99%,NA,NA,14.20%,12.60%,2026-08-12T16:02:08.538Z,https://pmsbazaar.com/Visitor/PMSComparison,Accelt asset management LLP - Long Term Equity Fund-,https://pmsbazaar.com/Strategy/Accelt_Long_Term_Equity_Fund/Accelt-asset-management-LLP,1
Electrum Portfolio Managers Pvt Ltd,https://pmsbazaar.com/AMC/Electrum-Portfolio-Managers-Pvt-Ltd/PMS,Equity,658.95,S&P BSE 500 TRI,Small & Mid Cap,9,1M,2026-06-30,Nov 2020,"5 Yrs, 7 Months",556,NA,10.94%,11.88%,12.38%,36.36%,23.84%,22.45%,15.40%,30.23%,2026-08-12T16:02:08.539Z,https://pmsbazaar.com/Visitor/PMSComparison,Electrum Portfolio Managers Pvt Ltd - Laureate Portfolio,https://pmsbazaar.com/Strategy/Laureate_Portfolio/Electrum-Portfolio-Managers-Pvt-Ltd,1
Equitree Capital Advisors Pvt Ltd,https://pmsbazaar.com/AMC/Equitree-Capital-Advisors-Pvt-Ltd/PMS,Equity,1512.21,S&P BSE 500 TRI,Small Cap,10,1M,2026-06-30,Oct 2017,"8 Yrs, 8 Months",556,NA,10.76%,-2.59%,5.18%,34.06%,27.19%,23.23%,5.81%,7.90%,2026-08-12T16:02:08.539Z,https://pmsbazaar.com/Visitor/PMSComparison,Equitree Capital Advisors Pvt Ltd - Emerging Opportunities,https://pmsbazaar.com/Strategy/Emerging_Opportunities/Equitree-Capital-Advisors-Pvt-Ltd,1
